                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.9821,                  3.794,                 4.0222,                0.00165,                0.08929,                0.00535,                0.00091,                 4.4654,                 4.5768,                 4.1766,             0.00028037,             0.00028037,             0.00028037
                     35,                 3.8188,                 3.6204,                 3.9498,                0.00169,                0.08929,                0.00742,                0.00126,                 4.4667,                 4.5936,                 4.1817,             0.00028825,             0.00028825,             0.00028825
                     36,                  4.065,                  3.339,                 3.9514,                0.00169,                0.08929,                0.00742,                0.00126,                 4.4667,                 4.5936,                 4.1817,              0.0002961,              0.0002961,              0.0002961
                     37,                 4.0058,                 3.6698,                 3.9101,                0.00176,                0.08929,                0.00284,                0.00074,                 4.4672,                 4.6164,                 4.1867,             0.00030391,             0.00030391,             0.00030391
                     38,                 3.7925,                 3.7763,                 3.9945,                0.00176,                0.08929,                0.00284,                0.00074,                 4.4672,                 4.6164,                 4.1867,             0.00031169,             0.00031169,             0.00031169
                     39,                 4.0798,                 3.4438,                 3.9578,                0.00168,                0.08929,                  0.004,                0.00098,                 4.4682,                 4.6411,                 4.1926,             0.00031943,             0.00031943,             0.00031943
                     40,                 3.7607,                 3.2349,                 3.8882,                0.00168,                0.08929,                  0.004,                0.00098,                 4.4682,                 4.6411,                 4.1926,             0.00032713,             0.00032713,             0.00032713
                     41,                 3.7762,                 3.2916,                 3.9362,                0.00169,                0.08929,                0.00259,                0.00101,                 4.4702,                 4.6568,                 4.1985,              0.0003348,              0.0003348,              0.0003348
                     42,                 3.6683,                 3.2653,                 3.8463,                0.00169,                0.08929,                0.00259,                0.00101,                 4.4702,                 4.6568,                 4.1985,             0.00034244,             0.00034244,             0.00034244
                     43,                 3.9898,                 3.2027,                  3.848,                0.00129,                0.07143,                0.00451,                0.00253,                 4.4692,                 4.6811,                 4.2033,             0.00035003,             0.00035003,             0.00035003
                     44,                 3.9298,                 3.1088,                 3.8045,                0.00129,                0.07143,                0.00451,                0.00253,                 4.4692,                 4.6811,                 4.2033,             0.00035759,             0.00035759,             0.00035759
                     45,                 4.2016,                 3.6336,                 3.8854,                0.00129,                0.07143,                0.00783,                0.00314,                 4.4707,                  4.691,                 4.2065,             0.00036512,             0.00036512,             0.00036512
                     46,                 3.5906,                 2.9792,                 3.8192,                0.00129,                0.07143,                0.00783,                0.00314,                 4.4707,                  4.691,                 4.2065,              0.0003726,              0.0003726,              0.0003726
                     47,                 3.8398,                 3.1213,                 3.8078,                0.00132,                0.07143,                0.00567,                0.00219,                  4.469,                 4.7092,                 4.2099,             0.00038006,             0.00038006,             0.00038006
                     48,                   3.87,                 2.8941,                 3.6978,                0.00132,                0.07143,                0.00567,                0.00219,                  4.469,                 4.7092,                 4.2099,             0.00038747,             0.00038747,             0.00038747
                     49,                 3.7844,                 3.1774,                 3.8819,                0.00127,                0.07143,                0.00371,                0.00174,                 4.4725,                 4.7448,                 4.2163,             0.00039485,             0.00039485,             0.00039485
                     50,                 3.5187,                  3.271,                 3.7872,                0.00127,                0.07143,                0.00371,                0.00174,                 4.4725,                 4.7448,                 4.2163,              0.0004022,              0.0004022,              0.0004022
                     51,                 3.2731,                 3.0876,                 3.8237,                0.00165,                0.08929,                0.00609,                0.00217,                 4.4729,                  4.802,                 4.2242,              0.0004095,              0.0004095,              0.0004095
                     52,                 3.5381,                 2.9138,                 3.7158,                0.00165,                0.08929,                0.00609,                0.00217,                 4.4729,                  4.802,                 4.2242,             0.00041678,             0.00041678,             0.00041678
                     53,                 3.4695,                 2.8744,                 3.6349,                0.00165,                0.08929,                0.00609,                0.00217,                 4.4729,                  4.802,                 4.2242,             0.00042401,             0.00042401,             0.00042401
                     54,                 3.5355,                 2.9517,                  3.746,                0.00134,                0.07143,                0.00343,                0.00155,                 4.4992,                 4.8808,                 4.2402,             0.00043121,             0.00043121,             0.00043121
                     55,                  3.449,                 3.0294,                 3.7503,                0.00134,                0.07143,                0.00343,                0.00155,                 4.4992,                 4.8808,                 4.2402,             0.00043838,             0.00043838,             0.00043838
                     56,                 3.2161,                 2.9745,                 3.7328,                0.00134,                0.07143,                0.00343,                0.00155,                 4.4992,                 4.8808,                 4.2402,             0.00044551,             0.00044551,             0.00044551
                     57,                 3.5586,                 3.0898,                 3.7073,                0.00193,                0.10714,                0.00582,                0.00096,                 4.5057,                 5.0935,                 4.2688,              0.0004526,              0.0004526,              0.0004526
                     58,                 3.2668,                 2.9808,                 3.6704,                0.00193,                0.10714,                0.00582,                0.00096,                 4.5057,                 5.0935,                 4.2688,             0.00045965,             0.00045965,             0.00045965
                     59,                 3.3276,                 3.2729,                 3.6256,                0.00193,                0.10714,                0.00582,                0.00096,                 4.5057,                 5.0935,                 4.2688,             0.00046667,             0.00046667,             0.00046667
                     60,                 3.9648,                 3.3062,                 3.6243,                0.00307,                0.07143,                0.00592,                0.00078,                 4.5529,                 5.2061,                 4.2882,             0.00047366,             0.00047366,             0.00047366
                     61,                  3.208,                 2.9317,                 3.6131,                0.00307,                0.07143,                0.00592,                0.00078,                 4.5529,                 5.2061,                 4.2882,             0.00048061,             0.00048061,             0.00048061
                     62,                 3.3768,                 3.2275,                 3.6263,                0.00307,                0.07143,                0.00592,                0.00078,                 4.5529,                 5.2061,                 4.2882,             0.00048752,             0.00048752,             0.00048752
                     63,                 3.2534,                 2.9542,                  3.506,                0.00342,                0.07143,                0.00504,                0.00072,                 4.6286,                 5.2879,                 4.2935,             0.00049439,             0.00049439,             0.00049439
                     64,                 3.2123,                 2.9489,                 3.5615,                0.00342,                0.07143,                0.00504,                0.00072,                 4.6286,                 5.2879,                 4.2935,             0.00050124,             0.00050124,             0.00050124
                     65,                 3.3663,                 3.0064,                  3.576,                0.00342,                0.07143,                0.00504,                0.00072,                 4.6286,                 5.2879,                 4.2935,             0.00050804,             0.00050804,             0.00050804
                     66,                 3.3146,                 3.0861,                 3.5679,                0.00334,                0.07143,                0.00535,                0.00074,                 4.9819,                 5.0443,                 4.2822,             0.00051481,             0.00051481,             0.00051481
                     67,                  3.193,                 2.9361,                 3.3372,                0.00334,                0.07143,                0.00535,                0.00074,                 4.9819,                 5.0443,                 4.2822,             0.00052154,             0.00052154,             0.00052154
                     68,                 3.3589,                 3.1995,                 3.4849,                0.00334,                0.07143,                0.00535,                0.00074,                 4.9819,                 5.0443,                 4.2822,             0.00052824,             0.00052824,             0.00052824
                     69,                 3.0997,                 3.0431,                 3.3914,                0.00351,                0.07143,                0.00524,                0.00058,                 4.9789,                 5.2096,                 4.2948,              0.0005349,              0.0005349,              0.0005349
                     70,                 3.0563,                   2.65,                 3.4297,                0.00351,                0.07143,                0.00524,                0.00058,                 4.9789,                 5.2096,                 4.2948,             0.00054152,             0.00054152,             0.00054152
                     71,                 2.9279,                  2.634,                 3.4776,                0.00351,                0.07143,                0.00524,                0.00058,                 4.9789,                 5.2096,                 4.2948,             0.00054811,             0.00054811,             0.00054811
